Neoplasm,Level,Parent,Malignant Primary,Malignant Secondary,Ca in situ,Benign,Uncertain Behavior,Unspecified Behavior
external,2,os,C53.1,C79.82,D06.1,D26.0,D39.0,D49.59
internal,2,os,C53.0,C79.82,D06.0,D26.0,D39.0,D49.59
ovary,1,Neoplasm, neoplastic,C56.-,C79.6-,D07.39,D27.-,D39.1-,D49.59
oviduct,1,Neoplasm, neoplastic,C57.0-,C79.82,D07.39,D28.2,D39.8,D49.59
palate,1,Neoplasm, neoplastic,C05.9,C79.89,D00.00,D10.39,D37.09,D49.0
hard,2,palate,C05.0,C79.89,D00.05,D10.39,D37.09,D49.0
junction of hard and soft palate,2,palate,C05.9,C79.89,D00.00,D10.39,D37.09,D49.0
overlapping lesions,2,palate,C05.8,,,,,
soft,2,palate,C05.1,C79.89,D00.04,D10.39,D37.09,D49.0
nasopharyngeal surface,3,soft,C11.3,C79.89,D00.08,D10.6,D37.05,D49.0
posterior surface,3,soft,C11.3,C79.89,D00.08,D10.6,D37.05,D49.0
superior surface,3,soft,C11.3,C79.89,D00.08,D10.6,D37.05,D49.0
palatoglossal arch,1,Neoplasm, neoplastic,C09.1,C79.89,D00.00,D10.5,D37.09,D49.0
palatopharyngeal arch,1,Neoplasm, neoplastic,C09.1,C79.89,D00.00,D10.5,D37.09,D49.0
pallium,1,Neoplasm, neoplastic,C71.0,C79.31,,D33.0,D43.0,D49.6
palpebra,1,Neoplasm, neoplastic,C44.10-,C79.2,D04.1-,D23.1-,D48.5,D49.2
basal cell carcinoma,2,palpebra,C44.11-,,,,,
sebaceous cell,2,palpebra,C44.13-,,,,,
specified type NEC,2,palpebra,C44.19-,,,,,
squamous cell carcinoma,2,palpebra,C44.12-,,,,,
pancreas,1,Neoplasm, neoplastic,C25.9,C78.89,D01.7,D13.6,D37.8,D49.0
body,2,pancreas,C25.1,C78.89,D01.7,D13.6,D37.8,D49.0
duct(of Santorini) (of Wirsung),2,pancreas,C25.3,C78.89,D01.7,D13.6,D37.8,D49.0
ectopic tissue,2,pancreas,C25.7,C78.89,,D13.6,D37.8,D49.0
head,2,pancreas,C25.0,C78.89,D01.7,D13.6,D37.8,D49.0
islet cells,2,pancreas,C25.4,C78.89,D01.7,D13.7,D37.8,D49.0
neck,2,pancreas,C25.7,C78.89,D01.7,D13.6,D37.8,D49.0
overlapping lesion,2,pancreas,C25.8,,,,,
tail,2,pancreas,C25.2,C78.89,D01.7,D13.6,D37.8,D49.0
para-aortic body,1,Neoplasm, neoplastic,C75.5,C79.89,,D35.6,D44.7,D49.7
paraganglion NEC,1,Neoplasm, neoplastic,C75.5,C79.89,,D35.6,D44.7,D49.7
parametrium,1,Neoplasm, neoplastic,C57.3,C79.82,,D28.2,D39.8,D49.59
paranephric,1,Neoplasm, neoplastic,C48.0,C78.6,,D20.0,D48.3,D49.0
pararectal,1,Neoplasm, neoplastic,C76.3,C79.89,,D36.7,D48.7,D49.89
parasagittal(region),1,Neoplasm, neoplastic,C76.0,C79.89,D09.8,D36.7,D48.7,D49.89
parasellar,1,Neoplasm, neoplastic,C72.9,C79.49,,D33.9,D43.8,D49.7
parathyroid(gland),1,Neoplasm, neoplastic,C75.0,C79.89,D09.3,D35.1,D44.2,D49.7
paraurethral,1,Neoplasm, neoplastic,C76.3,C79.89,,D36.7,D48.7,D49.89
gland,2,paraurethral,C68.1,C79.19,D09.19,D30.8,D41.8,D49.59
paravaginal,1,Neoplasm, neoplastic,C76.3,C79.89,,D36.7,D48.7,D49.89
"parenchyma, kidney",1,Neoplasm, neoplastic,C64.-,C79.0-,D09.19,D30.0-,D41.0-,D49.51-
parietal,1,Neoplasm, neoplastic,,,,,,
bone,2,parietal,C41.0,C79.51,,D16.4-,D48.0,D49.2
"lobe, brain",2,parietal,C71.3,C79.31,,D33.0,D43.0,D49.6
paroophoron,1,Neoplasm, neoplastic,C57.1,C79.82,D07.39,D28.2,D39.8,D49.59
parotid(duct) (gland),1,Neoplasm, neoplastic,C07,C79.89,D00.00,D11.0,D37.030,D49.0
parovarium,1,Neoplasm, neoplastic,C57.1,C79.82,D07.39,D28.2,D39.8,D49.59
patella,1,Neoplasm, neoplastic,C40.20,C79.51,,,,
"peduncle, cerebral",1,Neoplasm, neoplastic,C71.7,C79.31,,D33.1,D43.1,D49.6
pelvirectal junction,1,Neoplasm, neoplastic,C19,C78.5,D01.1,D12.7,D37.5,D49.0
"pelvis, pelvic",1,Neoplasm, neoplastic,C76.3,C79.89,D09.8,D36.7,D48.7,D49.89
bone,2,pelvis, pelvic,C41.4,C79.51,,D16.8,D48.0,D49.2
floor,2,pelvis, pelvic,C76.3,C79.89,D09.8,D36.7,D48.7,D49.89
renal,2,pelvis, pelvic,C65.-,C79.0-,D09.19,D30.1-,D41.1-,D49.51-
viscera,2,pelvis, pelvic,C76.3,C79.89,D09.8,D36.7,D48.7,D49.89
wall,2,pelvis, pelvic,C76.3,C79.89,D09.8,D36.7,D48.7,D49.89
pelvo-abdominal,1,Neoplasm, neoplastic,C76.8,C79.89,D09.8,D36.7,D48.7,D49.89
penis,1,Neoplasm, neoplastic,C60.9,C79.82,D07.4,D29.0,D40.8,D49.59
body,2,penis,C60.2,C79.82,D07.4,D29.0,D40.8,D49.59
corpus(cavernosum),2,penis,C60.2,C79.82,D07.4,D29.0,D40.8,D49.59
glans,2,penis,C60.1,C79.82,D07.4,D29.0,D40.8,D49.59
overlapping sites,2,penis,C60.8,,,,,
skin NEC,2,penis,C60.9,C79.82,D07.4,D29.0,D40.8,D49.59
periadrenal(tissue),1,Neoplasm, neoplastic,C48.0,C78.6,,D20.0,D48.3,D49.0
perianal(skin),1,Neoplasm, neoplastic,C44.500,C79.2,D04.5,D23.5,D48.5,D49.2
pericardium,1,Neoplasm, neoplastic,C38.0,C79.89,,D15.1,D48.7,D49.89
perinephric,1,Neoplasm, neoplastic,C48.0,C78.6,,D20.0,D48.3,D49.0
perineum,1,Neoplasm, neoplastic,C76.3,C79.89,D09.8,D36.7,D48.7,D49.89
periodontal tissue NEC,1,Neoplasm, neoplastic,C03.9,C79.89,D00.03,D10.39,D37.09,D49.0
periosteum,1,Neoplasm, neoplastic,,,,,,
peripancreatic,1,Neoplasm, neoplastic,C48.0,C78.6,,D20.0,D48.3,D49.0
peripheral nerve NEC,1,Neoplasm, neoplastic,C47.9,C79.89,,D36.10,D48.2,D49.2
perirectal(tissue),1,Neoplasm, neoplastic,C76.3,C79.89,,D36.7,D48.7,D49.89
perirenal(tissue),1,Neoplasm, neoplastic,C48.0,C78.6,,D20.0,D48.3,D49.0
"peritoneum, peritoneal(cavity)",1,Neoplasm, neoplastic,C48.2,C78.6,,D20.1,D48.4,D49.0
benign mesothelial tissue,2,peritoneum, peritoneal(cavity),,,,,,
overlapping lesion,2,peritoneum, peritoneal(cavity),C48.8,,,,,
with digestive organs,3,overlapping lesion,C26.9,,,,,
parietal,2,peritoneum, peritoneal(cavity),C48.1,C78.6,,D20.1,D48.4,D49.0
pelvic,2,peritoneum, peritoneal(cavity),C48.1,C78.6,,D20.1,D48.4,D49.0
specified part NEC,2,peritoneum, peritoneal(cavity),C48.1,C78.6,,D20.1,D48.4,D49.0
peritonsillar(tissue),1,Neoplasm, neoplastic,C76.0,C79.89,D09.8,D36.7,D48.7,D49.89
periurethral tissue,1,Neoplasm, neoplastic,C76.3,C79.89,,D36.7,D48.7,D49.89
phalanges,1,Neoplasm, neoplastic,,,,,,
foot,2,phalanges,C40.3-,C79.51,,D16.3-,,
hand,2,phalanges,C40.1-,C79.51,,D16.1-,,
"pharynx, pharyngeal",1,Neoplasm, neoplastic,C14.0,C79.89,D00.08,D10.9,D37.05,D49.0
bursa,2,pharynx, pharyngeal,C11.1,C79.89,D00.08,D10.6,D37.05,D49.0
fornix,2,pharynx, pharyngeal,C11.3,C79.89,D00.08,D10.6,D37.05,D49.0
recess,2,pharynx, pharyngeal,C11.2,C79.89,D00.08,D10.6,D37.05,D49.0
region,2,pharynx, pharyngeal,C14.0,C79.89,D00.08,D10.9,D37.05,D49.0
tonsil,2,pharynx, pharyngeal,C11.1,C79.89,D00.08,D10.6,D37.05,D49.0
wall(lateral) (posterior),2,pharynx, pharyngeal,C14.0,C79.89,D00.08,D10.9,D37.05,D49.0
pia mater,1,Neoplasm, neoplastic,C70.9,C79.40,,D32.9,D42.9,D49.7
cerebral,2,pia mater,C70.0,C79.32,,D32.0,D42.0,D49.7
cranial,2,pia mater,C70.0,C79.32,,D32.0,D42.0,D49.7
spinal,2,pia mater,C70.1,C79.49,,D32.1,D42.1,D49.7
pillars of fauces,1,Neoplasm, neoplastic,C09.1,C79.89,D00.08,D10.5,D37.05,D49.0
pineal(body) (gland),1,Neoplasm, neoplastic,C75.3,C79.89,D09.3,D35.4,D44.5,D49.7
pinna(ear) NEC,1,Neoplasm, neoplastic,C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
piriform fossa or sinus,1,Neoplasm, neoplastic,C12,C79.89,D00.08,D10.7,D37.05,D49.0
pituitary(body) (fossa) (gland) (lobe),1,Neoplasm, neoplastic,C75.1,C79.89,D09.3,D35.2,D44.3,D49.7
placenta,1,Neoplasm, neoplastic,C58,C79.82,D07.0,D26.7,D39.2,D49.59
"pleura, pleural(cavity)",1,Neoplasm, neoplastic,C38.4,C78.2,,D19.0,D38.2,D49.1
overlapping lesion with heart or mediastinum,2,pleura, pleural(cavity),C38.8,,,,,
parietal,2,pleura, pleural(cavity),C38.4,C78.2,,D19.0,D38.2,D49.1
visceral,2,pleura, pleural(cavity),C38.4,C78.2,,D19.0,D38.2,D49.1
plexus,1,Neoplasm, neoplastic,,,,,,
brachial,2,plexus,C47.1-,C79.89,,D36.12,D48.2,D49.2
cervical,2,plexus,C47.0,C79.89,,D36.11,D48.2,D49.2
choroid,2,plexus,C71.5,C79.31,,D33.0,D43.0,D49.6
lumbosacral,2,plexus,C47.5,C79.89,,D36.16,D48.2,D49.2
sacral,2,plexus,C47.5,C79.89,,D36.16,D48.2,D49.2
pluriendocrine,1,Neoplasm, neoplastic,C75.8,C79.89,D09.3,D35.7,D44.9,D49.7
pole,1,Neoplasm, neoplastic,,,,,,
frontal,2,pole,C71.1,C79.31,,D33.0,D43.0,D49.6
occipital,2,pole,C71.4,C79.31,,D33.0,D43.0,D49.6
pons(varolii),1,Neoplasm, neoplastic,C71.7,C79.31,,D33.1,D43.1,D49.6
popliteal fossa or space,1,Neoplasm, neoplastic,C76.5-,C79.89,D04.7-,D36.7,D48.7,D49.89
postcricoid(region),1,Neoplasm, neoplastic,C13.0,C79.89,D00.08,D10.7,D37.05,D49.0
posterior fossa(cranial),1,Neoplasm, neoplastic,C71.9,C79.31,,D33.2,D43.2,D49.6
postnasal space,1,Neoplasm, neoplastic,C11.9,C79.89,D00.08,D10.6,D37.05,D49.0
prepuce,1,Neoplasm, neoplastic,C60.0,C79.82,D07.4,D29.0,D40.8,D49.59
prepylorus,1,Neoplasm, neoplastic,C16.4,C78.89,D00.2,D13.1,D37.1,D49.0
presacral(region),1,Neoplasm, neoplastic,C76.3,C79.89,,D36.7,D48.7,D49.89
prostate(gland),1,Neoplasm, neoplastic,C61,C79.82,D07.5,D29.1,D40.0,D49.59
utricle,2,prostate(gland),C68.0,C79.19,D09.19,D30.4,D41.3,D49.59
pterygoid fossa,1,Neoplasm, neoplastic,C49.0,C79.89,,D21.0,D48.1,D49.2
pubic bone,1,Neoplasm, neoplastic,C41.4,C79.51,,D16.8,D48.0,D49.2
"pudenda, pudendum(femaie)",1,Neoplasm, neoplastic,C51.9,C79.82,D07.1,D28.0,D39.8,D49.59
pulmonary,1,Neoplasm, neoplastic,C34.9-,C78.0-,D02.2-,D14.3-,D38.1,D49.1
putamen,1,Neoplasm, neoplastic,C71.0,C79.31,,D33.0,D43.0,D49.6
pyloric,1,Neoplasm, neoplastic,,,,,,
antrum,2,pyloric,C16.3,C78.89,D00.2,D13.1,D37.1,D49.0
canal,2,pyloric,C16.4,C78.89,D00.2,D13.1,D37.1,D49.0
pylorus,1,Neoplasm, neoplastic,C16.4,C78.89,D00.2,D13.1,D37.1,D49.0
pyramid(brain),1,Neoplasm, neoplastic,C71.7,C79.31,,D33.1,D43.1,D49.6
pyriform fossa or sinus,1,Neoplasm, neoplastic,C12,C79.89,D00.08,D10.7,D37.05,D49.0
radius(any part),1,Neoplasm, neoplastic,C40.0-,C79.51,,D16.0-,,
Rathke's pouch,1,Neoplasm, neoplastic,C75.1,C79.89,D09.3,D35.2,D44.3,D49.7
rectosigmoid(junction),1,Neoplasm, neoplastic,C19,C78.5,D01.1,D12.7,D37.5,D49.0
overlapping lesion with anus or rectum,2,rectosigmoid(junction),C21.8,,,,,
rectouterine pouch,1,Neoplasm, neoplastic,C48.1,C78.6,,D20.1,D48.4,D49.0
rectovaginal septum or wall,1,Neoplasm, neoplastic,C76.3,C79.89,D09.8,D36.7,D48.7,D49.89
rectovesical septum,1,Neoplasm, neoplastic,C76.3,C79.89,D09.8,D36.7,D48.7,D49.89
rectum(ampulla),1,Neoplasm, neoplastic,C20,C78.5,D01.2,D12.8,D37.5,D49.0
and colon,2,rectum(ampulla),C19,C78.5,D01.1,D12.7,D37.5,D49.0
overlapping lesion with anus or rectosigmoid junction,2,rectum(ampulla),C21.8,,,,,
renal,1,Neoplasm, neoplastic,C64.-,C79.0-,D09.19,D30.0-,D41.0-,D49.51-
calyx,2,renal,C65.-,C79.0-,D09.19,D30.1-,D41.1-,D49.51-
hilus,2,renal,C65.-,C79.0-,D09.19,D30.1-,D41.1-,D49.51-
parenchyma,2,renal,C64.-,C79.0-,D09.19,D30.0-,D41.0-,D49.51-
pelvis,2,renal,C65.-,C79.0-,D09.19,D30.1-,D41.1-,D49.51-
respiratory,1,Neoplasm, neoplastic,,,,,,
organs or system NEC,2,respiratory,C39.9,C78.30,D02.4,D14.4,D38.6,D49.1
tract NEC,2,respiratory,C39.9,C78.30,D02.4,D14.4,D38.5,D49.1
upper,3,tract NEC,C39.0,C78.30,D02.4,D14.4,D38.5,D49.1
retina,1,Neoplasm, neoplastic,C69.2-,C79.49,D09.2-,D31.2-,D48.7,D49.81
retrobulbar,1,Neoplasm, neoplastic,C69.6-,C79.49,,D31.6-,D48.7,D49.89
retrocecal,1,Neoplasm, neoplastic,C48.0,C78.6,,D20.0,D48.3,D49.0
retromolar(area) (triangle) (trigone),1,Neoplasm, neoplastic,C06.2,C79.89,D00.00,D10.39,D37.09,D49.0
retro-orbital,1,Neoplasm, neoplastic,C76.0,C79.89,D09.8,D36.7,D48.7,D49.89
retroperitoneal(space) (tissue),1,Neoplasm, neoplastic,C48.0,C78.6,,D20.0,D48.3,D49.0
retroperitoneum,1,Neoplasm, neoplastic,C48.0,C78.6,,D20.0,D48.3,D49.0
retropharyngeal,1,Neoplasm, neoplastic,C14.0,C79.89,D00.08,D10.9,D37.05,D49.0
retrovesical(septum),1,Neoplasm, neoplastic,C76.3,C79.89,D09.8,D36.7,D48.7,D49.89
rhinencephalon,1,Neoplasm, neoplastic,C71.0,C79.31,,D33.0,D43.0,D49.6
rib,1,Neoplasm, neoplastic,C41.3,C79.51,,D16.7,D48.0,D49.2
Rosenmuller's fossa,1,Neoplasm, neoplastic,C11.2,C79.89,D00.08,D10.6,D37.05,D49.0
round ligament,1,Neoplasm, neoplastic,C57.2,C79.82,,D28.2,D39.8,D49.59
"sacrococcyx, sacrococcygeal",1,Neoplasm, neoplastic,C41.4,C79.51,D16.8,D48.0,D49.2,
region,2,sacrococcyx, sacrococcygeal,C76.3,C79.89,D09.8,D36.7,D48.7,D49.89
sacrouterine ligament,1,Neoplasm, neoplastic,C57.3,C79.82,,D28.2,D39.8,D49.59
"sacrum, sacral(vertebra)",1,Neoplasm, neoplastic,C41.4,C79.51,,D16.8,D48.0,D49.2
salivary gland or duct(major),1,Neoplasm, neoplastic,C08.9,C79.89,D00.00,D11.9,D37.039,D49.0
minor NEC,2,salivary gland or duct(major),C06.9,C79.89,D00.00,D10.39,D37.04,D49.0
overlapping lesion,2,salivary gland or duct(major),C08.9,,,,,
parotid,2,salivary gland or duct(major),C07,C79.89,D00.00,D11.0,D37.030,D49.0
pluriglandular,2,salivary gland or duct(major),C08.9,C79.89,D00.00,D11.9,D37.039,D49.0
sublingual,2,salivary gland or duct(major),C08.1,C79.89,D00.00,D11.7,D37.031,D49.0
submandibular,2,salivary gland or duct(major),C08.0,C79.89,D00.00,D11.7,D37.032,D49.0
submaxillary,2,salivary gland or duct(major),C08.0,C79.89,D00.00,D11.7,D37.032,D49.0
salpinx(uterine),1,Neoplasm, neoplastic,C57.0-,C79.82,D07.39,D28.2,D39.8,D49.59
Santorini's duct,1,Neoplasm, neoplastic,C25.3,C78.89,D01.7,D13.6,D37.8,D49.0
scalp,1,Neoplasm, neoplastic,C44.40,C79.2,D04.4,D23.4,D48.5,D49.2
basal cell carcinoma,2,scalp,C44.41,,,,,
specified type NEC,2,scalp,C44.49,,,,,
squamous cell carcinoma,2,scalp,C44.42,,,,,
scapula(any part),1,Neoplasm, neoplastic,C40.0-,C79.51,,D16.0-,,
scapular region,1,Neoplasm, neoplastic,C76.1,C79.89,D09.8,D36.7,D48.7,D49.89
scar NEC,1,Neoplasm, neoplastic,C44.90,C79.2,D04.9,D23.9,D48.5,D49.2
sciatic nerve,1,Neoplasm, neoplastic,C47.2-,C79.89,,D36.13,D48.2,D49.2
sclera,1,Neoplasm, neoplastic,C69.4-,C79.49,D09.2-,D31.4-,D48.7,D49.89
scrotum(skin),1,Neoplasm, neoplastic,C63.2,C79.82,D07.61,D29.4,D40.8,D49.59
sebaceous gland,1,Neoplasm, neoplastic,,,,,,
sella turcica,1,Neoplasm, neoplastic,C75.1,C79.89,D09.3,D35.2,D44.3,D49.7
bone,2,sella turcica,C41.0,C79.51,,D16.4-,D48.0,D49.2
semilunar cartilage(knee),1,Neoplasm, neoplastic,C40.2-,C79.51,,D16.2-,D48.0,D49.2
seminal vesicle,1,Neoplasm, neoplastic,C63.7,C79.82,D07.69,D29.8,D40.8,D49.59
septum,1,Neoplasm, neoplastic,,,,,,
nasal,2,septum,C30.0,C78.39,D02.3,D14.0,D38.5,D49.1
posterior margin,3,nasal,C11.3,C79.89,D00.08,D10.6,D37.05,D49.0
rectovaginal,2,septum,C76.3,C79.89,D09.8,D36.7,D48.7,D49.89
rectovesical,2,septum,C76.3,C79.89,D09.8,D36.7,D48.7,D49.89
urethrovaginal,2,septum,C57.9,C79.82,D07.30,D28.9,D39.9,D49.59
vesicovaginal,2,septum,C57.9,C79.82,D07.30,D28.9,D39.9,D49.59
shoulder NEC,1,Neoplasm, neoplastic,C76.4-,C79.89,D04.6-,D36.7,D48.7,D49.89
sigmoid flexure(lower) (upper),1,Neoplasm, neoplastic,C18.7,C78.5,D01.0,D12.5,D37.4,D49.0
sinus(accessory),1,Neoplasm, neoplastic,C31.9,C78.39,D02.3,D14.0,D38.5,D49.1
bone(any),2,sinus(accessory),C41.0,C79.51,,D16.4-,D48.0,D49.2
ethmoidal,2,sinus(accessory),C31.1,C78.39,D02.3,D14.0,D38.5,D49.1
frontal,2,sinus(accessory),C31.2,C78.39,D02.3,D14.0,D38.5,D49.1
maxillary,2,sinus(accessory),C31.0,C78.39,D02.3,D14.0,D38.5,D49.1
"nasal, paranasal NEC",2,sinus(accessory),C31.9,C78.39,D02.3,D14.0,D38.5,D49.1
overlapping lesion,2,sinus(accessory),C31.8,,,,,
pyriform,2,sinus(accessory),C12,C79.89,D00.08,D10.7,D37.05,D49.0
sphenoid,2,sinus(accessory),C31.3,C78.39,D02.3,D14.0,D38.5,D49.1
"skeleton, skeletal NEC",1,Neoplasm, neoplastic,C41.9,C79.51,,D16.9-,D48.0,D49.2
Skene's gland,1,Neoplasm, neoplastic,C68.1,C79.19,D09.19,D30.8,D41.8,D49.59
skin NOS,1,Neoplasm, neoplastic,C44.90,C79.2,D04.9,D23.9,D48.5,D49.2
abdominal wall,2,skin NOS,C44.509,C79.2,D04.5,D23.5,D48.5,D49.2
basal cell carcinoma,3,abdominal wall,C44.519,,,,,
specified type NEC,3,abdominal wall,C44.599,,,,,
squamous cell carcinoma,3,abdominal wall,C44.529,,,,,
ala nasi,2,skin NOS,C44.301,C79.2,D04.39,D23.39,D48.5,D49.2
ankle,2,skin NOS,C44.70-,C79.2,D04.7-,D23.7-,D48.5,D49.2
antecubital space,2,skin NOS,C44.60-,C79.2,D04.6-,D23.6-,D48.5,D49.2
anus,2,skin NOS,C44.500,C79.2,D04.5,D23.5,D48.5,D49.2
basal cell carcinoma,3,anus,C44.510,,,,,
specified type NEC,3,anus,C44.590,,,,,
squamous cell carcinoma,3,anus,C44.520,,,,,
arm,2,skin NOS,C44.60-,C79.2,D04.6-,D23.6-,D48.5,D49.2
auditory canal(external),2,skin NOS,C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
auricle(ear),2,skin NOS,C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
auricular canal(external),2,skin NOS,C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
"axilla, axillary fold",2,skin NOS,C44.509,C79.2,D04.5,D23.5,D48.5,D49.2
back,2,skin NOS,C44.509,C79.2,D04.5,D23.5,D48.5,D49.2
basal cell carcinoma,2,skin NOS,C44.91,,,,,
breast,2,skin NOS,C44.501,C79.2,D04.5,D23.5,D48.5,D49.2
basal cell carcinoma,3,breast,C44.511,,,,,
specified type NEC,3,breast,C44.591,,,,,
squamous cell carcinoma,3,breast,C44.521,,,,,
brow,2,skin NOS,C44.309,C79.2,D04.39,D23.39,D48.5,D49.2
buttock,2,skin NOS,C44.509,C79.2,D04.5,D23.5,D48.5,D49.2
calf,2,skin NOS,C44.70-,C79.2,D04.7-,D23.7-,D48.5,D49.2
canthus(eye) (inner) (outer),2,skin NOS,C44.10-,C79.2,D04.1-,D23.1-,D48.5,D49.2
basal cell carcinoma,3,canthus(eye) (inner) (outer),C44.11-,,,,,
sebaceous cell,3,canthus(eye) (inner) (outer),C44.13-,,,,,
specified type NEC,3,canthus(eye) (inner) (outer),C44.19-,,,,,
squamous cell carcinoma,3,canthus(eye) (inner) (outer),C44.12-,,,,,
cervical region,2,skin NOS,C44.40,C79.2,D04.4,D23.4,D48.5,D49.2
cheek(external),2,skin NOS,C44.309,C79.2,D04.39,D23.39,D48.5,D49.2
chest(wall),2,skin NOS,C44.509,C79.2,D04.5,D23.5,D48.5,D49.2
chin,2,skin NOS,C44.309,C79.2,D04.39,D23.39,D48.5,D49.2
clavicular area,2,skin NOS,C44.509,C79.2,D04.5,D23.5,D48.5,D49.2
clitoris,2,skin NOS,C51.2,C79.82,D07.1,D28.0,D39.8,D49.59
columnella,2,skin NOS,C44.309,C79.2,D04.39,D23.39,D48.5,D49.2
concha,2,skin NOS,C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
ear(external),2,skin NOS,C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
basal cell carcinoma,3,ear(external),C44.21-,,,,,
specified type NEC,3,ear(external),C44.29-,,,,,
squamous cell carcinoma,3,ear(external),C44.22-,,,,,
elbow,2,skin NOS,C44.60-,C79.2,D04.6-,D23.6-,D48.5,D49.2
eyebrow,2,skin NOS,C44.309,C79.2,D04.39,D23.39,D48.5,D49.2
eyelid,2,skin NOS,C44.10-,C79.2,D04.1-,D23.1-,D48.5,D49.2
basal cell carcinoma,3,eyelid,C44.11-,,,,,
sebaceous cell,3,eyelid,C44.13-,,,,,
specified type NEC,3,eyelid,C44.19-,,,,,
squamous cell carcinoma,3,eyelid,C44.12-,,,,,
face NOS,2,skin NOS,C44.300,C79.2,D04.30,D23.30,D48.5,D49.2
basal cell carcinoma,3,face NOS,C44.310,,,,,
specified type NEC,3,face NOS,C44.390,,,,,
squamous cell carcinoma,3,face NOS,C44.320,,,,,
female genital organs(external),2,skin NOS,C51.9,C79.82,D07.1,D28.0,D39.8,D49.59
clitoris,3,female genital organs(external),C51.2,C79.82,D07.1,D28.0,D39.8,D49.59
labium NEC,3,female genital organs(external),C51.9,C79.82,D07.1,D28.0,D39.8,D49.59
majus,4,labium NEC,C51.0,C79.82,D07.1,D28.0,D39.8,D49.59
minus,4,labium NEC,C51.1,C79.82,D07.1,D28.0,D39.8,D49.59
pudendum,3,female genital organs(external),C51.9,C79.82,D07.1,D28.0,D39.8,D49.59
vulva,3,female genital organs(external),C51.9,C79.82,D07.1,D28.0,D39.8,D49.59
finger,2,skin NOS,C44.60-,C79.2,D04.6-,D23.6-,D48.5,D49.2
flank,2,skin NOS,C44.509,C79.2,D04.5,D23.5,D48.5,D49.2
foot,2,skin NOS,C44.70-,C79.2,D04.7-,D23.7-,D48.5,D49.2
forearm,2,skin NOS,C44.60-,C79.2,D04.6-,D23.6-,D48.5,D49.2
forehead,2,skin NOS,C44.309,C79.2,D04.39,D23.39,D48.5,D49.2
glabella,2,skin NOS,C44.309,C79.2,D04.39,D23.39,D48.5,D49.2
gluteal region,2,skin NOS,C44.509,C79.2,D04.5,D23.5,D48.5,D49.2
groin,2,skin NOS,C44.509,C79.2,D04.5,D23.5,D48.5,D49.2
hand,2,skin NOS,C44.60-,C79.2,D04.6-,D23.6-,D48.5,D49.2
head NEC,2,skin NOS,C44.40,C79.2,D04.4,D23.4,D48.5,D49.2
heel,2,skin NOS,C44.70-,C79.2,D04.7-,D23.7-,D48.5,D49.2
helix,2,skin NOS,C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
hip,2,skin NOS,C44.70-,C79.2,D04.7-,D23.7-,D48.5,D49.2
infraclavicular region,2,skin NOS,C44.509,C79.2,D04.5,D23.5,D48.5,D49.2
inguinal region,2,skin NOS,C44.509,C79.2,D04.5,D23.5,D48.5,D49.2
jaw,2,skin NOS,C44.309,C79.2,D04.39,D23.39,D48.5,D49.2
Kaposi's sarcoma,2,skin NOS,,,,,,
knee,2,skin NOS,C44.70-,C79.2,D04.7-,D23.7-,D48.5,D49.2
labia,2,skin NOS,,,,,,
majora,3,labia,C51.0,C79.82,D07.1,D28.0,D39.8,D49.59
minora,3,labia,C51.1,C79.82,D07.1,D28.0,D39.8,D49.59
leg,2,skin NOS,C44.70-,C79.2,D04.7-,D23.7-,D48.5,D49.2
lid(lower) (upper),2,skin NOS,C44.10-,C79.2,D04.1-,D23.1-,D48.5,D49.2
basal cell carcinoma,3,lid(lower) (upper),C44.11-,,,,,
sebaceous cell,3,lid(lower) (upper),C44.13-,,,,,
specified type NEC,3,lid(lower) (upper),C44.19-,,,,,
squamous cell carcinoma,3,lid(lower) (upper),C44.12-,,,,,
limb NEC,2,skin NOS,C44.90,C79.2,D04.9,D23.9,D48.5,D49.2
basal cell carcinoma,3,limb NEC,C44.91,,,,,
lower,3,limb NEC,C44.70-,C79.2,D04.7-,D23.7-,D48.5,D49.2
basal cell carcinoma,4,lower,C44.71-,,,,,
specified type NEC,4,lower,C44.79-,,,,,
squamous cell carcinoma,4,lower,C44.72-,,,,,
upper,3,limb NEC,C44.60-,C79.2,D04.6-,D23.6-,D48.5,D49.2
basal cell carcinoma,4,upper,C44.61-,,,,,
specified type NEC,4,upper,C44.69-,,,,,
squamous cell carcinoma,4,upper,C44.62-,,,,,
lip(lower) (upper),2,skin NOS,C44.00,C79.2,D04.0,D23.0,D48.5,D49.2
basal cell carcinoma,3,lip(lower) (upper),C44.01,,,,,
specified type NEC,3,lip(lower) (upper),C44.09,,,,,
squamous cell carcinoma,3,lip(lower) (upper),C44.02,,,,,
male genital organs,2,skin NOS,C63.9,C79.82,D07.60,D29.9,D40.8,D49.59
penis,3,male genital organs,C60.9,C79.82,D07.4,D29.0,D40.8,D49.59
prepuce,3,male genital organs,C60.0,C79.82,D07.4,D29.0,D40.8,D49.59
