Substance,Level,Parent,Poisoning Accidental (unintentional),Poisoning Intentional self-harm,Poisoning Assault,Poisoning Undetermined,Adverse effect,Underdosing
hydroxide-magnesium carb. gel,1,Aluminium, aluminum,T47.1X1,T47.1X2,T47.1X3,T47.1X4,T47.1X5,T47.1X6
magnesium silicate,1,Aluminium, aluminum,T47.1X1,T47.1X2,T47.1X3,T47.1X4,T47.1X5,T47.1X6
nicotinate,1,Aluminium, aluminum,T46.7X1,T46.7X2,T46.7X3,T46.7X4,T46.7X5,T46.7X6
ointment(surgical) (topical),1,Aluminium, aluminum,T49.3X1,T49.3X2,T49.3X3,T49.3X4,T49.3X5,T49.3X6
phosphate,1,Aluminium, aluminum,T47.1X1,T47.1X2,T47.1X3,T47.1X4,T47.1X5,T47.1X6
salicylate,1,Aluminium, aluminum,T39.091,T39.092,T39.093,T39.094,T39.095,T39.096
silicate,1,Aluminium, aluminum,T47.1X1,T47.1X2,T47.1X3,T47.1X4,T47.1X5,T47.1X6
sodium silicate,1,Aluminium, aluminum,T47.1X1,T47.1X2,T47.1X3,T47.1X4,T47.1X5,T47.1X6
subacetate,1,Aluminium, aluminum,T49.2X1,T49.2X2,T49.2X3,T49.2X4,T49.2X5,T49.2X6
sulfate,1,Aluminium, aluminum,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
tannate,1,Aluminium, aluminum,T47.6X1,T47.6X2,T47.6X3,T47.6X4,T47.6X5,T47.6X6
topical NEC,1,Aluminium, aluminum,T49.3X1,T49.3X2,T49.3X3,T49.3X4,T49.3X5,T49.3X6
Alurate,0,,T42.3X1,T42.3X2,T42.3X3,T42.3X4,T42.3X5,T42.3X6
Alverine,0,,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
Alvodine,0,,T40.2X1,T40.2X2,T40.2X3,T40.2X4,T40.2X5,T40.2X6
Amanita phalloides,0,,T62.0X1,T62.0X2,T62.0X3,T62.0X4,,
Amanitine,0,,T62.0X1,T62.0X2,T62.0X3,T62.0X4,,
Amantadine,0,,T42.8X1,T42.8X2,T42.8X3,T42.8X4,T42.8X5,T42.8X6
Ambazone,0,,T49.6X1,T49.6X2,T49.6X3,T49.6X4,T49.6X5,T49.6X6
Ambenonium(chloride),0,,T44.0X1,T44.0X2,T44.0X3,T44.0X4,T44.0X5,T44.0X6
Ambroxol,0,,T48.4X1,T48.4X2,T48.4X3,T48.4X4,T48.4X5,T48.4X6
Ambuphylline,0,,T48.6X1,T48.6X2,T48.6X3,T48.6X4,T48.6X5,T48.6X6
Ambutonium bromide,0,,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
Amcinonide,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Amdinocilline,0,,T36.0X1,T36.0X2,T36.0X3,T36.0X4,T36.0X5,T36.0X6
Ametazole,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Amethocaine,0,,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
regional,1,Amethocaine,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
spinal,1,Amethocaine,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
Amethopterin,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Amezinium metilsulfate,0,,T44.991,T44.992,T44.993,T44.994,T44.995,T44.996
Amfebutamone,0,,T43.291,T43.292,T43.293,T43.294,T43.295,T43.296
Amfepramone,0,,T50.5X1,T50.5X2,T50.5X3,T50.5X4,T50.5X5,T50.5X6
Amfetamine,0,,T43.621,T43.622,T43.623,T43.624,T43.625,T43.626
Amfetaminil,0,,T43.621,T43.622,T43.623,T43.624,T43.625,T43.626
Amfomycin,0,,T36.8X1,T36.8X2,T36.8X3,T36.8X4,T36.8X5,T36.8X6
Amidefrine mesilate,0,,T48.5X1,T48.5X2,T48.5X3,T48.5X4,T48.5X5,T48.5X6
Amidone,0,,T40.3X1,T40.3X2,T40.3X3,T40.3X4,T40.3X5,T40.3X6
Amidopyrine,0,,T39.2X1,T39.2X2,T39.2X3,T39.2X4,T39.2X5,T39.2X6
Amidotrizoate,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Amiflamine,0,,T43.1X1,T43.1X2,T43.1X3,T43.1X4,T43.1X5,T43.1X6
Amikacin,0,,T36.5X1,T36.5X2,T36.5X3,T36.5X4,T36.5X5,T36.5X6
Amikhelline,0,,T46.3X1,T46.3X2,T46.3X3,T46.3X4,T46.3X5,T46.3X6
Amiloride,0,,T50.2X1,T50.2X2,T50.2X3,T50.2X4,T50.2X5,T50.2X6
Aminacrine,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Amineptine,0,,T43.011,T43.012,T43.013,T43.014,T43.015,T43.016
Aminitrozole,0,,T37.3X1,T37.3X2,T37.3X3,T37.3X4,T37.3X5,T37.3X6
Amino acids,0,,T50.3X1,T50.3X2,T50.3X3,T50.3X4,T50.3X5,T50.3X6
Aminoacetic acid(derivatives),0,,T50.3X1,T50.3X2,T50.3X3,T50.3X4,T50.3X5,T50.3X6
Aminoacridine,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Aminobenzoic acid(-p),0,,T49.3X1,T49.3X2,T49.3X3,T49.3X4,T49.3X5,T49.3X6
4-Aminobutyric acid,0,,T43.8X1,T43.8X2,T43.8X3,T43.8X4,T43.8X5,T43.8X6
Aminocaproic acid,0,,T45.621,T45.622,T45.623,T45.624,T45.625,T45.626
Aminoethylisothiourium,0,,T45.8X1,T45.8X2,T45.8X3,T45.8X4,T45.8X5,T45.8X6
Aminofenazone,0,,T39.2X1,T39.2X2,T39.2X3,T39.2X4,T39.2X5,T39.2X6
Aminoglutethimide,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Aminohippuric acid,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Aminomethylbenzoic acid,0,,T45.691,T45.692,T45.693,T45.694,T45.695,T45.696
Aminometradine,0,,T50.2X1,T50.2X2,T50.2X3,T50.2X4,T50.2X5,T50.2X6
Aminopentamide,0,,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
Aminophenazone,0,,T39.2X1,T39.2X2,T39.2X3,T39.2X4,T39.2X5,T39.2X6
Aminophenol,0,,T54.0X1,T54.0X2,T54.0X3,T54.0X4,,
4-Aminophenol derivatives,0,,T39.1X1,T39.1X2,T39.1X3,T39.1X4,T39.1X5,T39.1X6
Aminophenylpyridone,0,,T43.591,T43.592,T43.593,T43.594,T43.595,T43.596
Aminophylline,0,,T48.6X1,T48.6X2,T48.6X3,T48.6X4,T48.6X5,T48.6X6
Aminopterin sodium,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Aminopyrine,0,,T39.2X1,T39.2X2,T39.2X3,T39.2X4,T39.2X5,T39.2X6
8-Aminoquinoline drugs,0,,T37.2X1,T37.2X2,T37.2X3,T37.2X4,T37.2X5,T37.2X6
Aminorex,0,,T50.5X1,T50.5X2,T50.5X3,T50.5X4,T50.5X5,T50.5X6
Aminosalicylic acid,0,,T37.1X1,T37.1X2,T37.1X3,T37.1X4,T37.1X5,T37.1X6
Aminosalylum,0,,T37.1X1,T37.1X2,T37.1X3,T37.1X4,T37.1X5,T37.1X6
Amiodarone,0,,T46.2X1,T46.2X2,T46.2X3,T46.2X4,T46.2X5,T46.2X6
Amiphenazole,0,,T50.7X1,T50.7X2,T50.7X3,T50.7X4,T50.7X5,T50.7X6
Amiquinsin,0,,T46.5X1,T46.5X2,T46.5X3,T46.5X4,T46.5X5,T46.5X6
Amisometradine,0,,T50.2X1,T50.2X2,T50.2X3,T50.2X4,T50.2X5,T50.2X6
Amisulpride,0,,T43.591,T43.592,T43.593,T43.594,T43.595,T43.596
Amitriptyline,0,,T43.011,T43.012,T43.013,T43.014,T43.015,T43.016
Amitriptylinoxide,0,,T43.011,T43.012,T43.013,T43.014,T43.015,T43.016
Amlexanox,0,,T48.6X1,T48.6X2,T48.6X3,T48.6X4,T48.6X5,T48.6X6
Ammonia(fumes) (gas) (vapor),0,,T59.891,T59.892,T59.893,T59.894,,
aromatic spirit,1,Ammonia(fumes) (gas) (vapor),T48.991,T48.992,T48.993,T48.994,T48.995,T48.996
liquid(household),1,Ammonia(fumes) (gas) (vapor),T54.3X1,T54.3X2,T54.3X3,T54.3X4,,
Ammoniated mercury,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Ammonium,0,,,,,,,
acid tartrate,1,Ammonium,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
bromide,1,Ammonium,T42.6X1,T42.6X2,T42.6X3,T42.6X4,T42.6X5,T42.6X6
carbonate,1,Ammonium,T54.3X1,T54.3X2,T54.3X3,T54.3X4,,
chloride,1,Ammonium,T50.991,T50.992,T50.993,T50.994,T50.995,T50.996
expectorant,2,chloride,T48.4X1,T48.4X2,T48.4X3,T48.4X4,T48.4X5,T48.4X6
compounds(household) NEC,1,Ammonium,T54.3X1,T54.3X2,T54.3X3,T54.3X4,,
fumes(any usage),2,compounds(household) NEC,T59.891,T59.892,T59.893,T59.894,,
industrial,2,compounds(household) NEC,T54.3X1,T54.3X2,T54.3X3,T54.3X4,,
ichthyosulronate,1,Ammonium,T49.4X1,T49.4X2,T49.4X3,T49.4X4,T49.4X5,T49.4X6
mandelate,1,Ammonium,T37.91,T37.92,T37.93,T37.94,T37.95,T37.96
sulfamate,1,Ammonium,T60.3X1,T60.3X2,T60.3X3,T60.3X4,,
sulfonate resin,1,Ammonium,T47.8X1,T47.8X2,T47.8X3,T47.8X4,T47.8X5,T47.8X6
Amobarbital(sodium),0,,T42.3X1,T42.3X2,T42.3X3,T42.3X4,T42.3X5,T42.3X6
Amodiaquine,0,,T37.2X1,T37.2X2,T37.2X3,T37.2X4,T37.2X5,T37.2X6
Amopyroquin(e),0,,T37.2X1,T37.2X2,T37.2X3,T37.2X4,T37.2X5,T37.2X6
Amoxapine,0,,T43.011,T43.012,T43.013,T43.014,T43.015,T43.016
Amoxicillin,0,,T36.0X1,T36.0X2,T36.0X3,T36.0X4,T36.0X5,T36.0X6
Amperozide,0,,T43.591,T43.592,T43.593,T43.594,T43.595,T43.596
Amphenidone,0,,T43.591,T43.592,T43.593,T43.594,T43.595,T43.596
Amphetamine NEC,0,,T43.621,T43.622,T43.623,T43.624,T43.625,T43.626
Amphomycin,0,,T36.8X1,T36.8X2,T36.8X3,T36.8X4,T36.8X5,T36.8X6
Amphotalide,0,,T37.4X1,T37.4X2,T37.4X3,T37.4X4,T37.4X5,T37.4X6
Amphotericin B,0,,T36.7X1,T36.7X2,T36.7X3,T36.7X4,T36.7X5,T36.7X6
topical,1,Amphotericin B,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Ampicillin,0,,T36.0X1,T36.0X2,T36.0X3,T36.0X4,T36.0X5,T36.0X6
Amprotropine,0,,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
Amsacrine,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Amygdaline,0,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
Amyl,0,,,,,,,
acetate,1,Amyl,T52.8X1,T52.8X2,T52.8X3,T52.8X4,,
vapor,2,acetate,T59.891,T59.892,T59.893,T59.894,,
alcohol,1,Amyl,T51.3X1,T51.3X2,T51.3X3,T51.3X4,,
chloride,1,Amyl,T53.6X1,T53.6X2,T53.6X3,T53.6X4,,
formate,1,Amyl,T52.8X1,T52.8X2,T52.8X3,T52.8X4,,
nitrite,1,Amyl,T46.3X1,T46.3X2,T46.3X3,T46.3X4,T46.3X5,T46.3X6
propionate,1,Amyl,T65.891,T65.892,T65.893,T65.894,,
Amylase,0,,T47.5X1,T47.5X2,T47.5X3,T47.5X4,T47.5X5,T47.5X6
"Amyleine, regional",0,,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
Amylene,0,,,,,,,
dichloride,1,Amylene,T53.6X1,T53.6X2,T53.6X3,T53.6X4,,
hydrate,1,Amylene,T51.3X1,T51.3X2,T51.3X3,T51.3X4,,
Amylmetacresol,0,,T49.6X1,T49.6X2,T49.6X3,T49.6X4,T49.6X5,T49.6X6
Amylobarbitone,0,,T42.3X1,T42.3X2,T42.3X3,T42.3X4,T42.3X5,T42.3X6
"Amylocaine, regional",0,,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
infiltration(subcutaneous),1,Amylocaine, regional,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
nerve block(peripheral) (plexus),1,Amylocaine, regional,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
spinal,1,Amylocaine, regional,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
topical(surface),1,Amylocaine, regional,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
Amylopectin,0,,T47.6X1,T47.6X2,T47.6X3,T47.6X4,T47.6X5,T47.6X6
Amytal(sodium),0,,T42.3X1,T42.3X2,T42.3X3,T42.3X4,T42.3X5,T42.3X6
Anabolic steroid,0,,T38.7X1,T38.7X2,T38.7X3,T38.7X4,T38.7X5,T38.7X6
Analeptic NEC,0,,T50.7X1,T50.7X2,T50.7X3,T50.7X4,T50.7X5,T50.7X6
Analgesic,0,,T39.91,T39.92,T39.93,T39.94,T39.95,T39.96
anti-inflammatory NEC,1,Analgesic,T39.91,T39.92,T39.93,T39.94,T39.95,T39.96
propionic acid derivative,2,anti-inflammatory NEC,T39.311,T39.312,T39.313,T39.314,T39.315,T39.316
antirheumatic NEC,1,Analgesic,T39.4X1,T39.4X2,T39.4X3,T39.4X4,T39.4X5,T39.4X6
aromatic NEC,1,Analgesic,T39.1X1,T39.1X2,T39.1X3,T39.1X4,T39.1X5,T39.1X6
narcotic NEC,1,Analgesic,T40.601,T40.602,T40.603,T40.604,T40.605,T40.606
combination,2,narcotic NEC,T40.601,T40.602,T40.603,T40.604,T40.605,T40.606
obstetric,2,narcotic NEC,T40.601,T40.602,T40.603,T40.604,T40.605,T40.606
non-narcotic NEC,1,Analgesic,T39.91,T39.92,T39.93,T39.94,T39.95,T39.96
combination,2,non-narcotic NEC,T39.91,T39.92,T39.93,T39.94,T39.95,T39.96
pyrazole,1,Analgesic,T39.2X1,T39.2X2,T39.2X3,T39.2X4,T39.2X5,T39.2X6
specified NEC,1,Analgesic,T39.8X1,T39.8X2,T39.8X3,T39.8X4,T39.8X5,T39.8X6
Analgin,0,,T39.2X1,T39.2X2,T39.2X3,T39.2X4,T39.2X5,T39.2X6
Anamirta cocculus,0,,T62.1X1,T62.1X2,T62.1X3,T62.1X4,,
Ancillin,0,,T36.0X1,T36.0X2,T36.0X3,T36.0X4,T36.0X5,T36.0X6
Ancrod,0,,T45.691,T45.692,T45.693,T45.694,T45.695,T45.696
Androgen,0,,T38.7X1,T38.7X2,T38.7X3,T38.7X4,T38.7X5,T38.7X6
Androgen-estrogen mixture,0,,T38.7X1,T38.7X2,T38.7X3,T38.7X4,T38.7X5,T38.7X6
Androstalone,0,,T38.7X1,T38.7X2,T38.7X3,T38.7X4,T38.7X5,T38.7X6
Androstanolone,0,,T38.7X1,T38.7X2,T38.7X3,T38.7X4,T38.7X5,T38.7X6
Androsterone,0,,T38.7X1,T38.7X2,T38.7X3,T38.7X4,T38.7X5,T38.7X6
Anemone pulsatilla,0,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
Anesthesia,0,,,,,,,
caudal,1,Anesthesia,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
endotracheal,1,Anesthesia,T41.0X1,T41.0X2,T41.0X3,T41.0X4,T41.0X5,T41.0X6
epidural,1,Anesthesia,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
inhalation,1,Anesthesia,T41.0X1,T41.0X2,T41.0X3,T41.0X4,T41.0X5,T41.0X6
local,1,Anesthesia,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
mucosal,1,Anesthesia,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
muscle relaxation,1,Anesthesia,T48.1X1,T48.1X2,T48.1X3,T48.1X4,T48.1X5,T48.1X6
nerve blocking,1,Anesthesia,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
plexus blocking,1,Anesthesia,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
potentiated,1,Anesthesia,T41.201,T41.202,T41.203,T41.204,T41.205,T41.206
rectal,1,Anesthesia,T41.201,T41.202,T41.203,T41.204,T41.205,T41.206
general,2,rectal,T41.201,T41.202,T41.203,T41.204,T41.205,T41.206
local,2,rectal,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
regional,1,Anesthesia,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
surface,1,Anesthesia,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
Anesthetic NEC,0,,T41.41,T41.42,T41.43,T41.44,T41.45,T41.46
with muscle relaxant,1,Anesthetic NEC,T41.201,T41.202,T41.203,T41.204,T41.205,T41.206
general,2,with muscle relaxant,T41.201,T41.202,T41.203,T41.204,T41.205,T41.206
local,2,with muscle relaxant,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
gaseous NEC,1,Anesthetic NEC,T41.0X1,T41.0X2,T41.0X3,T41.0X4,T41.0X5,T41.0X6
general NEC,1,Anesthetic NEC,T41.201,T41.202,T41.203,T41.204,T41.205,T41.206
halogenated hydrocarbon derivatives NEC,1,Anesthetic NEC,T41.0X1,T41.0X2,T41.0X3,T41.0X4,T41.0X5,T41.0X6
infiltration NEC,1,Anesthetic NEC,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
intravenous NEC,1,Anesthetic NEC,T41.1X1,T41.1X2,T41.1X3,T41.1X4,T41.1X5,T41.1X6
local NEC,1,Anesthetic NEC,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
rectal,1,Anesthetic NEC,T41.201,T41.202,T41.203,T41.204,T41.205,T41.206
general,2,rectal,T41.201,T41.202,T41.203,T41.204,T41.205,T41.206
local,2,rectal,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
regional NEC,1,Anesthetic NEC,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
spinal NEC,1,Anesthetic NEC,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
thiobarbiturate,1,Anesthetic NEC,T41.1X1,T41.1X2,T41.1X3,T41.1X4,T41.1X5,T41.1X6
topical,1,Anesthetic NEC,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
Aneurine,0,,T45.2X1,T45.2X2,T45.2X3,T45.2X4,T45.2X5,T45.2X6
Angio-Conray,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Angiotensin,0,,T44.5X1,T44.5X2,T44.5X3,T44.5X4,T44.5X5,T44.5X6
Angiotensinamide,0,,T44.991,T44.992,T44.993,T44.994,T44.995,T44.996
Anhydrohydroxy-progesterone,0,,T38.5X1,T38.5X2,T38.5X3,T38.5X4,T38.5X5,T38.5X6
Anhydron,0,,T50.2X1,T50.2X2,T50.2X3,T50.2X4,T50.2X5,T50.2X6
Anileridine,0,,T40.491,T40.492,T40.493,T40.494,T40.495,T40.496
Aniline(dye) (liquid),0,,T65.3X1,T65.3X2,T65.3X3,T65.3X4,,
analgesic,1,Aniline(dye) (liquid),T39.1X1,T39.1X2,T39.1X3,T39.1X4,T39.1X5,T39.1X6
"derivatives, therapeutic NEC",1,Aniline(dye) (liquid),T39.1X1,T39.1X2,T39.1X3,T39.1X4,T39.1X5,T39.1X6
vapor,1,Aniline(dye) (liquid),T65.3X1,T65.3X2,T65.3X3,T65.3X4,,
Aniscoropine,0,,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
Anise oil,0,,T47.5X1,T47.5X2,T47.5X3,T47.5X4,T47.5X5,T47.5X6
Anisidine,0,,T65.3X1,T65.3X2,T65.3X3,T65.3X4,,
Anisindione,0,,T45.511,T45.512,T45.513,T45.514,T45.515,T45.516
Anisotropine methyl-bromide,0,,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
Anistreplase,0,,T45.611,T45.612,T45.613,T45.614,T45.615,T45.616
Anorexiant(central),0,,T50.5X1,T50.5X2,T50.5X3,T50.5X4,T50.5X5,T50.5X6
Anorexic agents,0,,T50.5X1,T50.5X2,T50.5X3,T50.5X4,T50.5X5,T50.5X6
Ansamycin,0,,T36.6X1,T36.6X2,T36.6X3,T36.6X4,T36.6X5,T36.6X6
Ant(bite) (sting),0,,T63.421,T63.422,T63.423,T63.424,,
Ant poison,0,,,,,,,
Antabuse,0,,T50.6X1,T50.6X2,T50.6X3,T50.6X4,T50.6X5,T50.6X6
Antacid NEC,0,,T47.1X1,T47.1X2,T47.1X3,T47.1X4,T47.1X5,T47.1X6
Antagonist,0,,,,,,,
Aldosterone,1,Antagonist,T50.0X1,T50.0X2,T50.0X3,T50.0X4,T50.0X5,T50.0X6
alpha-adrenoreceptor,1,Antagonist,T44.6X1,T44.6X2,T44.6X3,T44.6X4,T44.6X5,T44.6X6
anticoagulant,1,Antagonist,T45.7X1,T45.7X2,T45.7X3,T45.7X4,T45.7X5,T45.7X6
beta-adrenoreceptor,1,Antagonist,T44.7X1,T44.7X2,T44.7X3,T44.7X4,T44.7X5,T44.7X6
extrapyramidal NEC,1,Antagonist,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
folic acid,1,Antagonist,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
H2 receptor,1,Antagonist,T47.0X1,T47.0X2,T47.0X3,T47.0X4,T47.0X5,T47.0X6
heavy metal,1,Antagonist,T45.8X1,T45.8X2,T45.8X3,T45.8X4,T45.8X5,T45.8X6
narcotic analgesic,1,Antagonist,T50.7X1,T50.7X2,T50.7X3,T50.7X4,T50.7X5,T50.7X6
opiate,1,Antagonist,T50.7X1,T50.7X2,T50.7X3,T50.7X4,T50.7X5,T50.7X6
pyrimidine,1,Antagonist,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
serotonin,1,Antagonist,T46.5X1,T46.5X2,T46.5X3,T46.5X4,T46.5X5,T46.5X6
Antazolin(e),0,,T45.0X1,T45.0X2,T45.0X3,T45.0X4,T45.0X5,T45.0X6
Anterior pituitary hormone NEC,0,,T38.811,T38.812,T38.813,T38.814,T38.815,T38.816
Anthelmintic NEC,0,,T37.4X1,T37.4X2,T37.4X3,T37.4X4,T37.4X5,T37.4X6
Anthiolimine,0,,T37.4X1,T37.4X2,T37.4X3,T37.4X4,T37.4X5,T37.4X6
Anthralin,0,,T49.4X1,T49.4X2,T49.4X3,T49.4X4,T49.4X5,T49.4X6
Anthramycin,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Antiadrenergic NEC,0,,T44.8X1,T44.8X2,T44.8X3,T44.8X4,T44.8X5,T44.8X6
Antiallergic NEC,0,,T45.0X1,T45.0X2,T45.0X3,T45.0X4,T45.0X5,T45.0X6
Anti-anemic(drug) (preparation),0,,T45.8X1,T45.8X2,T45.8X3,T45.8X4,T45.8X5,T45.8X6
Antiandrogen NEC,0,,T38.6X1,T38.6X2,T38.6X3,T38.6X4,T38.6X5,T38.6X6
Antianxiety drug NEC,0,,T43.501,T43.502,T43.503,T43.504,T43.505,T43.506
Antiaris toxicaria,0,,T65.891,T65.892,T65.893,T65.894,,
Antiarteriosclerotic drug,0,,T46.6X1,T46.6X2,T46.6X3,T46.6X4,T46.6X5,T46.6X6
Antiasthmatic drug NEC,0,,T48.6X1,T48.6X2,T48.6X3,T48.6X4,T48.6X5,T48.6X6
Antibiotic NEC,0,,T36.91,T36.92,T36.93,T36.94,T36.95,T36.96
aminoglycoside,1,Antibiotic NEC,T36.5X1,T36.5X2,T36.5X3,T36.5X4,T36.5X5,T36.5X6
anticancer,1,Antibiotic NEC,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
antifungal,1,Antibiotic NEC,T36.7X1,T36.7X2,T36.7X3,T36.7X4,T36.7X5,T36.7X6
antimycobacterial,1,Antibiotic NEC,T36.5X1,T36.5X2,T36.5X3,T36.5X4,T36.5X5,T36.5X6
antineoplastic,1,Antibiotic NEC,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
cephalosporin(group),1,Antibiotic NEC,T36.1X1,T36.1X2,T36.1X3,T36.1X4,T36.1X5,T36.1X6
chloramphenicol(group),1,Antibiotic NEC,T36.2X1,T36.2X2,T36.2X3,T36.2X4,T36.2X5,T36.2X6
ENT,1,Antibiotic NEC,T49.6X1,T49.6X2,T49.6X3,T49.6X4,T49.6X5,T49.6X6
eye,1,Antibiotic NEC,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
fungicidal(local),1,Antibiotic NEC,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
intestinal,1,Antibiotic NEC,T36.8X1,T36.8X2,T36.8X3,T36.8X4,T36.8X5,T36.8X6
b-lactam NEC,1,Antibiotic NEC,T36.1X1,T36.1X2,T36.1X3,T36.1X4,T36.1X5,T36.1X6
local,1,Antibiotic NEC,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
macrolides,1,Antibiotic NEC,T36.3X1,T36.3X2,T36.3X3,T36.3X4,T36.3X5,T36.3X6
polypeptide,1,Antibiotic NEC,T36.8X1,T36.8X2,T36.8X3,T36.8X4,T36.8X5,T36.8X6
specified NEC,1,Antibiotic NEC,T36.8X1,T36.8X2,T36.8X3,T36.8X4,T36.8X5,T36.8X6
tetracycline(group),1,Antibiotic NEC,T36.4X1,T36.4X2,T36.4X3,T36.4X4,T36.4X5,T36.4X6
throat,1,Antibiotic NEC,T49.6X1,T49.6X2,T49.6X3,T49.6X4,T49.6X5,T49.6X6
Anticancer agents NEC,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Anticholesterolemic drug NEC,0,,T46.6X1,T46.6X2,T46.6X3,T46.6X4,T46.6X5,T46.6X6
Anticholinergic NEC,0,,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
Anticholinesterase,0,,T44.0X1,T44.0X2,T44.0X3,T44.0X4,T44.0X5,T44.0X6
organophosphorus,1,Anticholinesterase,T44.0X1,T44.0X2,T44.0X3,T44.0X4,T44.0X5,T44.0X6
insecticide,2,organophosphorus,T60.0X1,T60.0X2,T60.0X3,T60.0X4,,
nerve gas,2,organophosphorus,T59.891,T59.892,T59.893,T59.894,,
reversible,1,Anticholinesterase,T44.0X1,T44.0X2,T44.0X3,T44.0X4,T44.0X5,T44.0X6
